,subject,label,body
1571,valentine 's day,3,"See this is my struggle. Don't  give me a Valentine's Day gift as a present, my birthday is the 16th not the 14th https://t.co/xlP7AYnfbQ"
1572,valentine 's day,3,"Ask a 10-year-old when is the Valentine's Day, and he will tell you precisely. But come August 29 every year, and... http://t.co/WSegn9IauA"
1574,valentine 's day,5,Dallas in February! What better way to spend Valentine's Day than with my precious family!
1578,valentine 's day,5,"Do you have Valentine's Day plans? Join us Feb 11th. at Villla Milano for ""The Rose Party"" a formal dinner, entertainment and dance!"
1579,valentine 's day,3,"Baylee: ""I've had a boyfriend for every Valentine's Day since 5th grade"" Hallie: ""mines the opposite .."""
1581,valentine 's day,3,welp guys. this is the last sunday with no football until February 14th. Valentine's Day. let's enjoy it while it lasts #GiantsNation
1582,valentine 's day,3,This is the last Sunday without football until Valentine's Day. I couldn't be happier
1583,valentine 's day,3,Today is the last Sunday I have to decide how to use my afternoon until Valentine's Day! #NFL #Football #SundayAfternoons #Excitement
1586,valentine 's day,3,"It's been a long wait, but this is the last Sunday without football until Valentine's Day! We're in it for the long haul #Football #NFL"
1587,valentine 's day,3,"Last Sunday without football until Valentine's Day and I haven't done a Browns Q&amp;A in awhile, so let's do it! Questions, now! Go."
1589,valentine 's day,3,ATTENTION! This is the last Sunday with no NFL game until...  Valentine's Day.  **fist pump**  **touchdown dance**  (h/t @NFLprguy)
1591,valentine 's day,3,This is the last agonizing Sunday of the year. No more of these until Valentine's Day.
1593,valentine 's day,3,@thefentybarb Valentine's Day. I think it appeared on the charts for the first time on April 29th.
1594,valentine 's day,3,Football season ends the Sunday before Valentine's Day. Which will be good for all of the not dates I'll have lined up.
1595,valentine 's day,3,Gotta get a girl by February just so I can see this Phantom of the Opera with. Idc about Valentine's Day lol
1597,valentine 's day,3,"in 6th grade there was this boy that liked me, but I hated him, and for Valentine's Day he put a card in my locker w. $5 in it... goals."
1599,valentine 's day,3,"In 8th grade, I wrote my boyfriend a love poetry book w 15 original haikus &amp; gave him it for Valentine's Day. I deeply regret this decision."
1601,venice beach,3,"@310KINGPIN @Venice311 Practicing for the great topless march on Venice Beach, taking it a bit further?  A matter of principle, or meth?"
1612,venice beach,3,One of the most random trips. Venice Beach in a Monday
1634,venice beach,5,Can I just go soak up the California sun on Venice Beach one more time before school starts?
1645,venice beach,3,@RachaelMadori Are u going to the #GoToplesevent  in Venice Beach on Sunday?
1659,venice beach,5,Thanks to all the people on Venice Beach who helped us spread the happiness on Saturday. #happypassiton #meetkvell http://t.co/yPb3pH4qJQ
1660,venice beach,3,Nothing like a trip to Santa Monica &amp; Venice beach on the same Sat. Check out the pics of my trip with @tonyshout  http://t.co/mCqE4YH0x3
1668,venice beach,3,@latimes I want to see the video from the cop who owned his own body cam as he shot Brenden Glenn at Venice Beach on May 5th. #mystery
1671,venice beach,5,"So who wants to drive to LA? Two parties in Westwood tonight, Venice Beach beach house Friday, back by Sunday."
1674,venice beach,3,"@stormchaserQ @VORTEXJeff @BDMphoto @markellinwood no one ever said ""When it's May, you go to Venice Beach"""
1676,venice beach,5,Fun in the sun at Venice Beach! #beachbum #honeymoon #travel #mood #venicebeach https://t.co/Q0plVhaXQN
1677,venice beach,5,Ahhhhh! Exactly! Tomorrow were going to Venice Beach!
1679,venice beach,3,A man was arrested Sunday in connection with a shooting at the Venice Beach boardwalk that left one man dead a... http://t.co/wjqn2qB4KA
1684,venice beach,3,@Megalyn Love Vixen- Didnt U used to be Pierre's neighbor in Venice Beach? I think I met u at one of his July 4 or turkey day parties..
1685,venice beach,3,Venice Hotel Owner Pleads Not Guilty in Slaying: A Venice Beach hotel owner pleaded not guilty Tuesday in the ... http://t.co/TjKiVAfLn0
1703,windows 10,3,Intended to finish my Windows 10 slides for the Aug @NelaInfoSec event.  Couldn't connect SP3 to internet; gave up.  Must complete tomorrow.
1705,windows 10,3,That decision to not update to Windows 10 keeps looking better all the time...  http://t.co/EZbJzTibxF
1706,windows 10,3,"@Fasdrak As long as it's not, like, a Microsoft game, probably not Also, Windows 10 runs on Xbone, too: this stuff may apply to that"
1709,windows 10,3,Clearly you haven't upgraded to Windows 10 yet. Good night &amp; good luck! #Windows10Fail https://t.co/eGZ0BjVfgu
1710,windows 10,3,"While Microsoft's Edge browser has been available to Windows 10 users since its release on July 29, if you haven't... http://t.co/IdwMxNdoJ4"
1711,windows 10,3,So apparently Sony VAIO laptops pre-installed with Windows 7 probably won't receive Windows 10 drivers until after November. #uninstallahoy
1713,windows 10,3,"@CurtisNatalie Were you able to successfully upgrade to Windows 10, Curtis? We'd be happy to help with any questions you may have!"
1714,windows 10,3,Seems like the free upgrade to Windows 10 may be worth thinking twice about. http://t.co/UxXIfpah1m
1715,windows 10,3,"@armzmxz Hi, Armando! If you run into issues upgrading to Windows 10, keep us in mind for any questions you may have!"
1717,windows 10,3,Microsoft's Windows 10 testing resumes with a new preview release - Microsoft may have released the final... http://t.co/8lPDdCanq7
1718,windows 10,3,Internet Explorer turns 20. http://t.co/iWMwOdj7l3 It may well not have many birthdays left after #Edge was released with Windows 10
1720,windows 10,3,Some bad news for those who have PC games with DRM - you may want to think twice about upgrading to Windows 10 http://t.co/c8y46e8T47
1721,windows 10,3,@ChristosMatskas It's October 4. SP4 running Windows 10 on 10/4. I hope it doesn't cost $2015.
1725,windows 10,3,"Also, it may take a few reboots before Windows 10 gets itself all together.  That resolved some initial problems.  @CounterpaneMont"
1733,windows 10,3,The furthest I can schedule my Windows 10 upgrade for is the 23rd.. Looks like Microsoft are dragging me in whether I like it or not haha
1736,windows 10,3,"Upgraded to Windows 10, and everything was OK until I tried to play a DVD. Be forewarned you may need a separate install. I went for VLC."
1737,windows 10,3,Upgrading to Windows 10 may be the worst computer-related decision I've made since deciding to play Neopets instead of going to class.
1738,windows 10,3,"@wmiddelkoop If you have nothing to hide and love being social with Microsoft and 3rd party, then Windows 10 is for you."
1740,windows 10,3,"BitTorrent tracker blocks Windows 10 users: If you use BitTorrent a lot, you may want to r... http://t.co/VnhHFWWJ80 #InfoSec #Security"
1741,windows 10,3,Sat here ... waiting ... for my Windows 10 update ... one day ... soon ... they promised.
1744,windows 10,3,@SofiaAizura It may be a driver issue. Contact your laptop service provider to check for latest audio drivers compatible with Windows 10.
1745,windows 10,3,@Schrokit @RuthElleson Let's see what the update to Windows 10 will bring in October...my ancient 920 gets it too ;)
1747,windows 10,3,"@HelloTomoro Hi- plz correct me if I'm wrong,after upgrading to Windows 10 the size of the pvm file is in kbs?May I know how did you upgrade"
1751,windows 10,3,@knasher It's been doing it for a while. May have happened with Windows 10.
1764,windows 10,3,Apple will live stream it's September 9 event to Windows 10 users http://t.co/QRv1nHyhDi
1766,windows 10,3,@virginmedia no someone on the phone when we reported it on Thursday morning. I wanted to do the free update on Windows 10 yesterday
1767,windows 10,3,What if you downloaded Windows 10 on July 29 and have buyer's remorse after trying out the operating system? Like... http://t.co/9PrL8ZxTnF
1768,windows 10,3,@WindowsSupport I reserved it 1 week before Windows 10 officially came out on the 29th
1772,windows 10,3,"Duolingo jumps from phone to Windows 10 universal app: Perhaps, the adoption of Windows 10 thus far may be sta... http://t.co/aZmUgdL8Qr"
1773,windows 10,3,@ToddKlindt Pieces of it existed for Pro and Enterprise when Windows 10 launched on July 29. Its just that it wasn't made clear until now.
1774,windows 10,3,@aaaaazhr He may need to contact his PC system operator to update his drivers to the latest drivers which are compatible with Windows 10.
1776,windows 10,5,@baikunth We've met a lot of happy Windows 10 campers here. What seems to be the problem with yours? We may be able to help. :) ^MM
1780,windows 10,3,"@Spuggy_m If you upgraded to Windows 10 you may be able to perform a clean install with the Windows 10 ISO download. If not, you need 1/2"
1781,windows 10,3,"New HDD and heatsink installed, just need a new GPU now, tomorrow I'll install by current card temporarily and install Windows 10."
1783,windows 10,3,Upgrading to Windows 10. Might not be recording tonight after all. May need to cancel tomorrow night's stream to record Fable.
1785,windows 10,3,Just upgraded to Windows 10. I may be among the few people who liked 8.1.
1787,windows 10,3,"Welp, this is it... I am upgrading to Windows 10. I may make the dumbest decision in terms of computers. Who knows? http://t.co/pg4QX3tgpp"
1789,windows 10,3,"3 Windows 10 Privacy Settings To Look Into: Windows 10 may have come with an improved interface, but ... http://t.co/AwkuqxwseS #windows"
1796,windows 10,3,"@SambahawkBW @beano160 Windows 10 may have done it, but that was just your computer so it shouldn't stop others from upgrading."
1798,windows 10,3,Windows 10 users can watch the #AppleEvent using Microsoft's new Edge browser Stream link: http://t.co/3OsszEtg0D http://t.co/KG9SV7jL4a
1801,xbox,3,@ash_purnell96 how you getting it on 15th and don't say changing your time zone on Xbox with ea access hahaha
1803,xbox,3,@Battlefield quick question. Is Battlefield 3 going to be available for backwards compatibility on Xbox one this November?
1804,xbox,5,STREAMING TONIGHT!! 1st Xbox one stream FIFA 16 xD then maybe some world of Warcraft learning new Mage stuff with razer naga xD
1810,xbox,3,@TheDiddIer @GloShon xbox one skype with squad tomorrow are yall down
1816,xbox,3,@xL3GND following and added on xbox may i get an invite when ur on if you have room thanks in advance GT - Eptic Wolf
1819,xbox,3,@orangejunkie it may work cause it keeps un syncing from the Xbox one
1820,xbox,3,Transferring game data on xbox one and ps4 this may take a while #Destiny #TakenKing notice the #gjallarhorn http://t.co/pvH7NQW6lB
1821,xbox,3,@thepieface I hate it more. My Xbox controller is in London so I can't play until sunday
1823,xbox,3,"@Bungie @MoreConsole Are Xbox players able to get the Hawkmoon, Monte Carlo, and 4th Horseman as of today? Or will we have to wait til 9/15?"
1826,xbox,3,2nd day in a row @SmiteGame isn't giving me xp on Xbox...maybe take a second away from your steam launch and fix what's already out?
1827,xbox,3,@ltsRogue he lives in the Middle East so he's not gonna be on Xbox again until like tomorrow morning
1829,xbox,3,Well I'm never going to get my Xbox back unless I win this bet on Saturday
1831,xbox,3,Castle crashers remastered on xbox one is free if you have the original on xbox 360 till 20th Sept. Releases today. #castleCrashers #XboxOne
1832,xbox,3,Xbox Live Deals with Gold for September 8th: 'Evolve' &amp; 'Battlefield' http://t.co/QuduyssIrh http://t.co/YOVS4NtYdv
1833,xbox,3,"Microsoft's cunning plan to save the Xbox from Apple: Tomorrow, Apple will reportedly introduce a new version ... http://t.co/KVbEGR7DSp"
1835,xbox,3,"@CptAnarchy Xbox servers are having issues, just give it until tomorrow or something"
1839,xbox,3,"@Be2happyHappy Sorry for any delay, you may want to bring any abusive language to the attention of Xbox support. ^TO"
1840,xbox,3,@BlackPanthaaYT oh lol. also turn of the turn off timer on the xbox so it dont turn off. that may also help
1841,xbox,3,What will the Destiny 2.0 patch be at when I get home? 70% 48%? 95%? 2%? Who knows. My Xbox may just be on fire the way things were going.
1845,xbox,3,@Bungie @BungieHelp those of us on Xbox can't even play the damn game until the 15th.... 2.0.0 isn't even 100% and it's a FAIL!
1848,xbox,3,@blowfishstudios when will the Xbox one codes be given out for gunscape? It releases tomorrow right?
1857,xbox,3,@xboxsupport1 may not be relevant but I am also an Xbox preview memeber with which we have had a couple of mysterious updates recently
1858,xbox,3,"Having Xbox downloadable games always release on Wed. was such a smart move. Now, it's chaos. No idea what's out or when."
1859,xbox,3,Elite: Dangerous confirms it will be available on Xbox One October 6th http://t.co/0d7Nzh8f3q
1860,xbox,3,What are you guys doing on Xbox still like High school doesn't start tomorrow for you guys lol
1861,xbox,3,"@hubecube_ @rocket5studios it's currently live on Xbox, it will be tomorrow  Steam and PC"
1865,xbox,3,"Come on xbox, I just want to play Destiny! I hope its better by tomorrow"
1868,xbox,3,"no roommate, you may not get on Xbox live at midnight and talk deadass loud with ur online buddies when i have an 8 o'clock in the morning.."
1876,xbox,3,"Elite: Dangerous Will Be Available In Xbox One By October 6, Polygon Confirms: In just a couple months, the hi... http://t.co/M83Xc3GnWw"
1878,xbox,3,@ferrarimanf355 @TruthInsider @sicgamer @kafkasdad @TheRandomAnt yep! like 99% of Xbox 1st party games we can get it on steam
1879,xbox,3,@SexyLexyGamer How is the new patch I ask because I am away from my xbox till sat
1880,xbox,3,"@Blay_Vision the mics are rubbish!!  Xbox need to produce better mics, luckily my spare pad has the 2nd headset port"
1882,xbox,3,"If you had Castle Crashers on Xbox 360, it will be free today for Xbox One owners. This is incredible. https://t.co/xyVWQlHK6O"
1883,xbox,3,.@DIRECTVService Still waiting for an answer regarding the Sunday Ticket app for Xbox One. I bought the package just to use on Xbox.
1886,xbox,3,WORLD HAS ABANDONED THE SYSTEM.  This is now centrally commanded just like Playstation or Xbox. https://t.co/KsUFmf5oLJ
1890,xbox,3,I tried the Xbox One preview....couldn't figure out how to fly. https://t.co/xcZqNO16Yr
1893,xbox,3,"@JackDavies17_ Sorry for the delayed response, we are experiencing a high volume at the moment so a response may take a while. Was the Xbox"
1894,xbox,3,"Fallout 4 is due for release in just two months on November 10 for the Xbox One, PlayStation 4 and PC, but... http://t.co/4atImHU6Ii"
1895,xbox,3,@EAAccess Having pre loaded FIFA 16 on Xbox One will I need to redownload an early access version to play on the 17th?
1900,zlatan,3,"@RossoneriBlog oh c'mon, you all know exactly what i meant. I never said Zlatan should be benched in 1st place. It's about possibilities."
1903,zlatan,3,"#ManUnited #transfernews Ronaldo -Ramos - Zlatan - Muller .If you could pick one to sign tomorrow , who would it be ? http://t.co/SIPAgVJjLm"
1912,zlatan,3,Would love to see Zlatan in the Premier League. He may be an egotistical fruit loop but it would be fun #Zlatan
1914,zlatan,3,Further: Zlatan is the captain of the Mon-Stars. (The plot involves him recruiting demons to take over world soccer).
1919,zlatan,5,Goal for tomorrow= take a selfie with Zlatan.
1920,zlatan,3,@Jon_LeGossip Thoughts about the aubameyang rumors? Cover if Zlatan leaves? Or adding depth? Augustin a good 3rd Striker for UCL quality?
1921,zlatan,5,Tomorrow will be an Amazing day!! Wanna know why!? I get to see Zlatan play! If he plays...
1931,zlatan,3,"One word from Zlatan and he will keep quiet  ""@Crhedrys Lmaoooooo Hazard 3rd best? Make Zlatan catch Mourinho fes."""
1935,zlatan,5,"Today may be the best day of my life, i get to see Zlatan."
1936,zlatan,3,so is Zlatan gonna play the 2nd half for us or nah?
1940,zlatan,3,@OccupyBears he fancied rolling the ball to Zlatan on the edge of the box early on and then he totally fucked up for PSG's 1st goal...
1941,zlatan,3,fucking cunt. I hope he eats Zlatan's shit in retirement league. https://t.co/blH85NzExz
1944,zlatan,3,@mattoak I still say it's Monday after Zlatan finishes game on Sunday... They're just prepping. They'll tease enough to gather the media.
1945,zlatan,3,Zlatan is a doubt for Friday's game at Lille with sprained ligaments in his knee. He had to be strapped up during the game last night. #PSG
1950,zlatan,3,"Ibra recovery time is still unknown, the French League starts on Friday. PSG will play Lille, Zlatan is very much in doubt for that."
1951,zlatan,3,"@MinoRaiola just because your hunger for more money Zlatan will play in a team that finished at the 10th place and struggle for top 5,shame"
1957,zlatan,3,Has played with: - Messi in Argentina - CR7 in Madrid - Rooney in MU - and now with Zlatan at P$G . . . . . . . . simply Di Mar
1958,zlatan,3,@MilanEye I didn't buy your club to invest in Zlatan. I shall visit China tomorrow &amp; gift you a china-made zlaCHAN  8) #Taekwondo #staycalm
1960,zlatan,3,Zlatan's 20th goal of the season not enough for who concede twice late on to draw 2-2 with Caen...
1963,zlatan,3,"#BWFC Manager Neil Lennon has said Saturday's 0-0 with Derby , illustrates just why he's been chasing Zlatan &amp; Neymar all summer long #SSNHQ"
1964,zlatan,3,@nananavy That &amp; Zlatan insisting on playing through pain for the 2nd half vs. Lyon. Why not just come off? 2-0 up anyway.
1965,zlatan,3,Watching a replay of the PSG / Lille match from Friday. No Zlatan makes PSG unwatchable.
1966,zlatan,3,@Jon_LeGossip Any truth to Galatasaray having made an informal offer to PSG for Zlatan? Is he fit to play this Sunday?
1967,zlatan,3,@Paulkurth that 3rd shot looks like its from a Michael Bay movie. Zlatan just revealed himself to be Optimus prime.
1968,zlatan,3,"@ACMilanNorway anyway, telling Zlatan he'll be the center of the team is like telling the sun it's the center of the solar system. No crap."
1969,zlatan,3,7 more days till we start the campaign that will win us our 19th scudetto ! Zlatan or no Zlatan that trophy is ours. #ForzaMilan
1970,zlatan,3,The VP of France's refereeing union Laurent Ugo has said he accepts Zlatan's apology following the striker's rant at officials on Sunday.
1971,zlatan,3,"Apparently Zlatan may leave PSG for United. He's already at a team that buys every high rate payer and wins fuck all, not sure why he'd go."
1972,zlatan,3,"OH NO, we supposedly pull out of Pedro deal as Zlatan becomes available. Please god I'll go church every Sunday if u make this not happen"
1974,zlatan,3,Sun are so full of shit they say PSG trying to replace Zlatan with Neymar hahaha
1979,zlatan,3,The top 4 strikers in the world are not for sale and our coach can't handle the 5th (Zlatan)
1981,zlatan,3,@Jon_LeGossip I didn't think they will sell either. Maybe Rabiot but surely Cavani doesn't want to play 2nd fiddle to Zlatan anymore
1991,zlatan,3,If there is a silver lining this shows LVG if we dont buy anyone b4 Tuesday we is fucked!! Fuck it i would take Zlatan!!
1992,zlatan,3,If Wenger is in Paris. Could it be for Cavani or Zlatan?Then again he may be on a family break.
1994,zlatan,3,Goal level: Zlatan  90k by Friday? = Posting every other day  #DSGS (Vine by @ElexAuerbach) https://t.co/BPUM3A8tSD
1995,zlatan,3,@YouAreMyArsenal Wouldn't surprise me if we enquired.He can't be 100% happy playing 2nd fiddle to Zlatan but he's not worth PSG asking price
1997,zlatan,3,"Noooooo! I was hoping to see Zlatan being Zlatan in Tuesday! Oh well, still looking forward to the match.  https://t.co/swGyd9cQAJ"
1998,zlatan,3,@Fronsoir Zlatan has never done it on a wet Tuesday night at Stoke tbh
1999,zlatan,3,@ZIatanVines  how many goals Zlatan intends to serve into the net on Friday. To know how to bet 1 &amp; 3 + or 1 &amp; 4+ ????
2000,michael jackson,3,05 Beat it - Michael Jackson - Thriller (25th Anniversary Edition) [HD] http://t.co/A4K2B86PBv
2002,michael jackson,3,Michael Jackson: Bad 25th Anniversary Edition (Picture Vinyl): This unique picture disc vinyl includes the original 1 http://t.co/fKXhToAAuW
2005,michael jackson,5,"@oridaganjazz The 1st time I heard Michael Jackson sing was in Honolulu, Hawaii @ a restaurant on radio. It was A.B.C. I was 13. I loved it!"
2007,michael jackson,5,Are you old enough to remember Michael Jackson attending the Grammys with Brooke Shields and Webster sat on his lap during the show?
2009,michael jackson,3,The Weeknd is the closest thing we may get to Michael Jackson for a long time...especially since he damn near mimics everything
2010,michael jackson,3,"All of you people who're saying The Weekend is the next Michael Jackson, Go to sleep, you got school tomorrow."
2021,michael jackson,5,"HAPPY 28th BIRTHDAY, BAD !!!!!   ""Well they say the sky's the limit And to me that's really true""- Michael Jackson http://t.co/07XeTiDMHj"
2028,michael jackson,3,@Pearsey I actually believed that his 2nd cousin was Michael Jackson. Gutted when I found out he wasn't - I was 26 by then...
2041,michael jackson,3,@michaeljackson MARK LANGTHORNE @mark_langthorne  My Book about Michael Jackson is out Sept 10th. The truth 4 MJ #michaeljackson #83minutes
2046,michael jackson,3,It is too hot. I was waking around campus w my big black umbrella just 2 shade myself from the sun. I think I'm Michael Jackson or something
2052,michael jackson,3,"83 Minutes, major new book on the amazing life &amp; tragic death of Michael Jackson released on Sept 10. @MJJCommunity @MJJLegion @mjsunifc"
2054,michael jackson,3,in 8th grade i harassed a 7th grader telling him he looked like michael jackson every day and he just walked past me. he still looks like MJ
2061,michael jackson,3,"Michael Jackson may have had Thriller, but the Fat Boys had Freddy Krueger. http://t.co/H6hJbVNvLi"
2062,michael jackson,3,@MissSonalChadha Take a look at @RajivMessage's Tweet: https://t.co/Xl0moCLGjZ  Hindus should not use RIP.  U can use it for Michael Jackson
2073,michael jackson,3,The sound of Sunday with Michael Jackson - Blood On The Dancefloor http://t.co/CvHFOMO1tN #webradio #internetradio
2076,michael jackson,5,Sunday brunch with a Bloody Mary is the best! Michael Jackson is on the radio too! #drinklocal #dolocal #music http://t.co/S7dFzns799
2079,michael jackson,5,They're showing the Motown 25th on PBS. Michael Jackson at the height of his fame. Mind blowing moves. #MoonwalkDebut
2080,michael jackson,3,3rd: The Weeknd sounds just like Michael Jackson
2081,michael jackson,3,"#LQLDailyQuestion Which actress died aged 62 on the same day as Michael Jackson, June 25th 2009?"
2082,michael jackson,3,@MirandaCosgrove @CaylenWeather michael jackson or harry styles? the world may never know
2083,michael jackson,3,Van Halen and LL Cool J talk about Michael Jackson (LMJ May 3rd 2013) https://t.co/WwQ1KQnRDz via @YouTube
2084,michael jackson,3,"I never see any 21st Generations trying to copy the ""Other King"" Elvis Presley - Every goddamn artist in these days copies Michael Jackson"
2089,michael jackson,3,"I spent all weekend in the sun, and I'm still paler than the ghost of Michael Jackson. #whitepeopleproblems"
2090,michael jackson,3,"83 Minutes - at last, the Michael Jackson book is out tomorrow. It is the story of what happened the night he died."
2091,michael jackson,3,"Yg puts Ikon as 2nd bigbang, and BI as GD = the next michael jackson is justin bieber. @ygent_official are you patrick star?"
2093,michael jackson,3,"Not sure what it was like seeing michael jackson outdoors, but its gotta be similar to future's set on sunday"
2094,michael jackson,3,Eve has 2 different styles; Jared Leto or Michael Jackson... What will it be tomorrow ? Stay tuned to find out
2096,michael jackson,3,"R8 has FINALLY dropped, Kanye is in his second term of presidency, Michael Jackson moonwalked on the sun, fuckboys gained some respect for w"
2097,michael jackson,3,"Michael Jackson, if he only believed his own words, he may not of transformed himself into the ghoul http://t.co/UaVtsk7VMg"
2105,michelle obama,3,"See Tika Sumpter as Michelle Obama in 'Southside with You' photo: Annie MartinLOS ANGELES, July 15 (UP... http://t.co/Tspa5x2n6e #TSCEnt"
2106,michelle obama,1,Retweet if you think Michelle Obama is an awful 1st Lady... http://t.co/mYpmCoLfE8
2107,michelle obama,3,A: I'd gladly have somebody else pay you next Tuesday for a vegan burger today Q: What would Michelle Obama say if she were Wimpy @fredwimpy
2108,michelle obama,3,SMH Mayor in Washington St. Makes Racist Remarks about PBO &amp; 1st Lady Michelle Obama; Refuses to Resign http://t.co/sRmwlqiBYb via @dailykos
2112,michelle obama,3,Who would make a better 1st lady of the US? RETWEET for Melania Trump ignore for michelle obama @realDonaldTrump http://t.co/otwIgPJC1Q
2113,michelle obama,3,dear everyone   it was funny the 1st time you called me Michelle Obama  9179027th time  not so much
2114,michelle obama,3,I frick frackin love shows with Madison so much tomorrow is going to be so fun wowowowowoowowowwowowowoow I'm not ready Michelle Obama
2118,michelle obama,3,"Who would you rather have as a 5th Member: Michelle Obama, an Ewok or The Sneezing Panda. #iHeart5SOS"
2119,michelle obama,3,"E! News Terrence Jenkins w/moderate keynote with First Lady Michelle Obama on July 23rd, 8am. For the 2015 Beating The Odds Summit."
2120,michelle obama,3,I will never look at Michelle Obama the same way. My sides will be sore tomorrow... Worth breaking the Internet for! @amyschumer
2122,michelle obama,3,The only time Michelle Obama would lower the flags on her property is if they were blocking the sun while she was sunbathing. #Chattanooga
2125,michelle obama,3,Just remember Michelle Obama told Barack Obama she may not vote for him for senate just because she didn't want him in politics.
2131,michelle obama,5,@CollinceBey I admire Michelle Obama more. Cant imagine how she survived being in a remote African village for 1st time! She deserved WH!
2133,michelle obama,5,The 1st Lady Michelle Obama was in the house! What an inspirational moment! #ZenoFamily https://t.co/SLJ4kVpcHO
2136,michelle obama,3,"Michelle Obama complains about not being paid, Watch Laura Bush set her straight - http://t.co/Fe0z2RxYC5, Mooch!"
2138,michelle obama,3,Have you seen the first lady? Michelle Obama may still be in the Coachella Valley @TDSColinAtagi http://t.co/fk04VotSVB via @mydesert
2139,michelle obama,1,@marklevinshow Exactly! Now that the US is a Constitution-less dictatorship Michelle Obama may never leave the White House.
2141,michelle obama,3,Be careful what you wish for Michelle Obama will announce soon.  That 3rd term talk is a test https://t.co/soBIWUcWMY
2145,michelle obama,3,I'm more concerned about Barack getting his 3rd term wish through Michelle Obama than I am uncle Joe. Just saying. https://t.co/8Gu7lu7qZq
2148,michelle obama,3,S/O to the people going back to school tomorrow and have to eat Michelle Obama's nutritious school lunches. #mmm
2149,michelle obama,5,Michelle Obama is the sexiest 1st lady in history &amp; will be for the next 50 years at least. yes even hotter than Trumps current spouse imo
2150,michelle obama,3,Today: a 4th grader was saying how she wrote to Michelle Obama &amp; my 5 year old responded that he wrote to the bears of Yosemite. #andhedid
2151,michelle obama,3,Talk about running the world.&amp;#160; Michelle Obama sat down with rapper Wale on Friday to answer questions and promote her Reach Higher
2158,michelle obama,3,"Boy, did Michelle Obama look miserable dehelicoptering in Martha's Vineyard. What's the 1st missus got to gripe about? Not feelin' the love?"
2159,michelle obama,5,Happy 50th Birthday Michelle Obama! We're winding down our Friday with our favorite FLOTUS quotes! # http://t.co/gR9FhqKJEH
2161,michelle obama,3,"@spareribbetje Walrus, die word bereden door Michelle Obama in de opkomende zon met tekst ""I wish i was that walrus, cuz the sun is pretty"""
2162,michelle obama,3,@father you still got the Michelle Obama shirt ?  https://t.co/tYtCyltfD6
2164,michelle obama,5,@AngryBlackLady @FatBodyPolitics did U just call Michelle Obama trash? #1 she is a awesome 1st Lady! #2 Patriotism = respect for 1st family!
2171,michelle obama,3,@garza_tex @foxandfriends Michelle Obama stated she was embarrassed of America. Figured she'd be 1st 2 give up citizenship. Bow 2 that.
2173,michelle obama,5,First Lady Michelle Obama is a elegant and classy 1st Lady who presence touch the heart of us all #LoveMyPresident&amp;FirstLady @InsideEdition
2175,michelle obama,5,AMERICA! my friends @TheStruts are playing the Jimmy Kimmel show tomorrow night with Michelle Obama! couldn't be more proud!
2176,michelle obama,3,@LeoKikiLady89 chile did you read about Michelle Obama this lady is the 1st wife educated with a ton of degrees and said she wishes she was
2177,michelle obama,1,for the first time in my adult lifetime I'm really proud of my country- MOST UN-AMERICAN STATEMENT BY DISGRACED 1ST LADY MICHELLE OBAMA
2179,michelle obama,3,"During Thursday night's edition of Jimmy Kimmel Live, the ABC comedian helped first lady Michelle Obama make a... http://t.co/2r5UCGnTCS"
2180,michelle obama,3,Danny Drinkwater is just a plant from Michelle Obama to force healthy dietary choices on Saturday morning soccer watchers. #tcot
2181,michelle obama,3,United wanting to sign Neymar is like me wanting to marry Michelle Obama.. although the difference is I may have a chance
2183,michelle obama,3,I was challenged to post three things about myself that you may not know... 1. Michelle Obama WAS NOT the first... http://t.co/bmb3MWZVmP
2185,michelle obama,3,Hey tomorrow's wing Wednesday! Unless they changed it... and it's like Tofu Wednesday... I mean you know Michelle Obama... -my dad
2187,michelle obama,3,"MICHELLE OBAMA Look- A-Like - ""People always tell me I look like U.S.A 1st Lady Michelle Obama. I do not see the... http://t.co/qyszgYaW0c"
2189,michelle obama,3,@LyndaG1963 @9975Ts @GrimMWB @Jcpcond :If she's like Michelle Obama that may not be true?
2192,michelle obama,3,"Food giants call a truce w/ Michelle Obama, @politico reports http://t.co/VxAGF6QUX6 (Tho some wld say the 1st Lady raised a white flag)"
2194,michelle obama,3,I dm'd michelle Obama. I'm going to erase it tomorrow if she doesn't respond
2195,michelle obama,3,@AmberLoGuirato you don't know ton like I do I suck his cock on a late Tuesday night with michelle Obama and Kenny's dad
2197,michelle obama,3,"@Megaroooo scroll down for ""egg person of the year"" photographed with barack and michelle obama: http://t.co/pPFbR7qdtR"
2198,michelle obama,3,Michelle Obama's waiting in the Master Bedroom Chelsea Clinton's waiting in the Lincoln Bedroom WHICH ROOM 1st @Sadieisonfire @REALFITFINLAY
2199,michelle obama,3,"'The View' returns with new, hopefully controversial hosts: Guest Michelle Obama (3rd L), wife of presumptive ... http://t.co/HHP4rsf6xj"
2212,minecraft,3,A good read about what's happening to Minecraft in schools... http://t.co/qjjB5HfnAw
2216,minecraft,3,"@taisling Prendeville was on about violent videogames on Monday, even Minecraft is bad apparently... How long you about for?"
2221,minecraft,3,My 8yr old just back talked me.. On Monday when he's at school I'm logging in to Minecraft and destroying his... http://t.co/SKrzjKq513
2222,minecraft,3,"@Maxusy Is Minecraft the only program you have issues with? If so, you may need to contact Minecraft support for your issue."
